#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
19.53951,19.21982,19.0787,18.86483,18.45813,QSO,0.4155854,346,51693,209
19.56855,18.37784,17.83892,17.4875,17.26749,GALAXY,0.09965599,2532,54589,363
19.03314,17.85835,17.14002,16.6361,16.32163,GALAXY,0.04436139,346,51693,491
18.00904,16.61642,15.99647,15.7274,15.57413,STAR,0.000402592,3290,54941,92
18.45197,18.24435,17.94294,17.76114,17.65912,QSO,1.401005,4067,55361,4
17.91788,16.33828,15.67212,15.4044,15.25124,STAR,-0.0001509213,2183,53536,476
19.39446,18.33519,17.78297,17.56385,17.44828,STAR,-0.001057058,2183,53536,630
17.34864,16.15052,15.67937,15.43531,15.28948,GALAXY,0.02236328,1689,53177,463
18.94055,17.69168,17.08033,16.76602,16.49542,GALAXY,0.03388947,1568,53169,603
18.01814,16.56042,16.13807,16.05613,15.75912,GALAXY,0.03393101,1568,53169,574
17.85817,16.78731,16.42673,16.29648,16.2637,STAR,-0.0002207405,1732,53501,446
19.45084,18.17934,17.6927,17.37903,17.15784,GALAXY,0.09234834,2531,54572,555
17.93501,16.95368,16.59844,16.22787,16.16119,GALAXY,0.08446869,2203,53915,152
18.59815,16.88951,16.27291,16.06203,15.95436,STAR,-0.000284947,2183,53536,545
19.10671,17.71711,16.99413,16.52681,16.25612,GALAXY,0.1196047,1415,52885,55
18.5946,18.31239,18.14904,17.96045,17.80987,QSO,1.958732,2204,53877,328
17.38828,16.16579,15.81013,15.6906,15.64167,STAR,0.0001214229,2183,53536,353
19.23122,17.42203,16.56448,16.04626,15.60201,STAR,-0.000149862,5016,55709,44
18.93206,19.18267,19.72031,20.07706,20.41212,STAR,-0.0002375061,4068,55445,746
17.63886,16.6917,16.36593,16.23947,16.19687,STAR,-0.000175272,1689,53177,452
18.74109,17.39637,17.51221,17.61645,17.63024,STAR,-0.0008140442,1569,53168,65
17.01633,16.8166,16.47103,16.01772,15.98409,QSO,0.1464716,346,51693,223
17.06134,15.94517,15.44167,15.26598,15.19021,STAR,-0.000192843,346,51693,431
18.47192,16.90155,16.34755,16.17554,16.10386,STAR,-6.723677E-05,2183,53536,503
18.20226,16.3236,15.37388,14.90687,14.55646,GALAXY,0.0545667,2204,53877,360
19.46044,17.46972,16.4493,16.00022,15.64773,GALAXY,0.09908687,2529,54585,50
19.17294,17.45571,16.84267,16.64589,16.56116,STAR,5.09145E-05,2183,53536,509
18.07614,16.87495,16.81727,16.85408,16.89718,STAR,-0.000351876,3290,54941,555
18.01136,17.00034,16.67295,16.54462,16.51075,STAR,6.374019E-05,1569,53168,90
17.86532,16.38991,15.72286,15.41941,15.25198,STAR,0.0003376283,3298,54924,511
19.46513,17.91767,17.35849,17.15285,17.07052,STAR,-0.0001266894,2183,53536,418
19.2195,17.18894,16.12455,15.67136,15.36507,GALAXY,0.1109871,2529,54585,51
18.46126,17.50076,17.15236,17.00583,16.97769,STAR,-0.0004097596,2183,53536,575
18.88494,17.2209,16.5575,16.2825,16.22774,STAR,-0.0002101574,1568,53169,467
18.76172,17.93629,17.40203,17.03175,16.84826,GALAXY,0.1699486,1823,53886,634
19.26802,18.12388,17.70955,17.56131,17.48654,STAR,-0.000373458,1688,53462,296
19.48633,18.17152,17.47958,17.13853,16.92327,STAR,-0.0001811981,3426,54977,7
17.82422,16.8969,16.59018,16.46647,16.42855,STAR,-0.001159341,2183,53536,604
19.49278,17.99808,17.34117,17.04994,16.88243,STAR,-2.206131E-05,1415,52885,639
19.18063,17.78895,17.1473,16.81193,16.59147,GALAXY,0.06486723,346,51693,423
